commentId,documentId,agencyId,year,max_cosine,min_edit_distance,max_lcs,max_lcs_pct,comment_length,polarity,n_all_comments,n_doc_dupe_comments,pct_doc_dupe_comments,n_gt90,pct_gt90,all_tokens,unique_tokens,rare_tokens,pct_rare_tokens,form_letter
FNS-2019-0034-0097,FNS-2019-0034-0061,FNS,2020,0.39733743006406,172,33,0.132,662,0.8,88,0,0,2,0.05714285714285714,59,37,1,0.01694915254237288,n
FNS-2019-0034-0098,FNS-2019-0034-0061,FNS,2020,0.45648241707771,184,59,0.236,3387,0.6716417910447762,88,0,0,2,0.05714285714285714,310,223,42,0.13548387096774195,n
FNS-2019-0034-0099,FNS-2019-0034-0061,FNS,2020,0.2328295014184,178,20,0.0851063829787234,235,0.5,88,0,0,2,0.05714285714285714,19,19,2,0.10526315789473684,n
FNS-2019-0034-0100,FNS-2019-0034-0061,FNS,2020,0.48828643421645,194,16,0.064,4922,0.7966101694915254,88,0,0,2,0.05714285714285714,463,261,98,0.21166306695464362,n
FNS-2019-0034-0102,FNS-2019-0034-0061,FNS,2020,0.35319345220627,182,24,0.096,397,0.3333333333333333,88,0,0,2,0.05714285714285714,30,28,5,0.16666666666666666,n
FNS-2019-0034-0103,FNS-2019-0034-0061,FNS,2020,0.12309132639048,188,18,0.072,302,0,88,0,0,2,0.05714285714285714,24,23,1,0.041666666666666664,n
FNS-2019-0034-0105,FNS-2019-0034-0061,FNS,2020,0.50445463308446,181,28,0.112,1896,0.7142857142857143,88,0,0,2,0.05714285714285714,181,122,23,0.1270718232044199,n
FNS-2019-0034-0110,FNS-2019-0034-0061,FNS,2020,0.15983905904383,196,19,0.296875,64,1,88,0,0,2,0.05714285714285714,5,5,0,0,n
FNS-2019-0034-0111,FNS-2019-0034-0061,FNS,2020,0.45037464880199,156,93,0.372,3139,0.75,88,0,0,2,0.05714285714285714,296,193,54,0.18243243243243243,n
FNS-2019-0034-0114,FNS-2019-0034-0061,FNS,2020,0.41648783019569,143,93,0.372,4579,0.7971014492753623,88,0,0,2,0.05714285714285714,445,243,72,0.16179775280898875,n
FNS-2019-0034-0115,FNS-2019-0034-0061,FNS,2020,0.14431118512454,180,21,0.084,565,0.3333333333333333,88,0,0,2,0.05714285714285714,55,43,9,0.16363636363636364,n
FNS-2019-0034-0121,FNS-2019-0034-0061,FNS,2020,0.39733743006406,188,28,0.112,327,1,88,0,0,2,0.05714285714285714,30,28,6,0.2,n
FNS-2019-0034-0129,FNS-2019-0034-0061,FNS,2020,0.06350364976466,187,54,0.216,497,0.75,88,0,0,2,0.05714285714285714,45,39,5,0.1111111111111111,n
FNS-2019-0034-0134,FNS-2019-0034-0061,FNS,2020,0.21961901302039,160,45,0.18,1286,0.4,88,0,0,2,0.05714285714285714,113,90,21,0.18584070796460178,n
FNS-2019-0034-0136,FNS-2019-0034-0061,FNS,2020,0.37861840104944,193,25,0.1,749,0.7,88,0,0,2,0.05714285714285714,68,52,8,0.11764705882352941,n
FNS-2019-0034-0150,FNS-2019-0034-0061,FNS,2020,0.18814985166644,188,28,0.112,2501,0.6842105263157895,88,0,0,2,0.05714285714285714,217,133,30,0.1382488479262673,n
FNS-2019-0034-0154,FNS-2019-0034-0061,FNS,2020,0.30128359330298,178,15,0.06,516,1,88,0,0,2,0.05714285714285714,46,37,6,0.13043478260869565,n
ED-2018-OPE-0076-0846,ED-2018-OPE-0076-0845,ED,2020,0.16774765721331,159,29,0.116,1267,0.5238095238095238,239,22,0.16923076923076924,59,0.45384615384615384,119,100,14,0.11764705882352941,n
ED-2018-OPE-0076-0847,ED-2018-OPE-0076-0845,ED,2020,0.0448671692758,191,23,0.092,762,0.4666666666666667,239,22,0.16923076923076924,59,0.45384615384615384,70,56,14,0.2,n
ED-2018-OPE-0076-0848,ED-2018-OPE-0076-0845,ED,2020,0.46739056964211,184,27,0.108,2237,0.84,239,22,0.16923076923076924,59,0.45384615384615384,189,126,24,0.12698412698412698,n
ED-2018-OPE-0076-0850,ED-2018-OPE-0076-0845,ED,2020,0.28484407147624,184,23,0.092,1889,0.3,239,22,0.16923076923076924,59,0.45384615384615384,159,131,20,0.12578616352201258,n
ED-2018-OPE-0076-0851,ED-2018-OPE-0076-0845,ED,2020,0.19108975445758,181,28,0.112,375,-0.3333333333333333,239,22,0.16923076923076924,59,0.45384615384615384,31,31,1,0.03225806451612903,n
ED-2018-OPE-0076-0852,ED-2018-OPE-0076-0845,ED,2020,0.37766761613044,182,17,0.068,1019,1,239,22,0.16923076923076924,59,0.45384615384615384,78,59,22,0.28205128205128205,n
ED-2018-OPE-0076-0853,ED-2018-OPE-0076-0845,ED,2020,0.31123830401579,181,23,0.092,2856,0.5,239,22,0.16923076923076924,59,0.45384615384615384,245,167,18,0.07346938775510205,n
ED-2018-OPE-0076-0854,ED-2018-OPE-0076-0845,ED,2020,0.26367189747408,184,23,0.092,256,0.5,239,22,0.16923076923076924,59,0.45384615384615384,20,20,3,0.15,n
ED-2018-OPE-0076-0855,ED-2018-OPE-0076-0845,ED,2020,0.28276341561834,184,30,0.12,527,0.5555555555555556,239,22,0.16923076923076924,59,0.45384615384615384,45,39,3,0.06666666666666667,n
ED-2018-OPE-0076-0856,ED-2018-OPE-0076-0845,ED,2020,0.26232932301175,170,21,0.084,667,0.1111111111111111,239,22,0.16923076923076924,59,0.45384615384615384,61,43,14,0.22950819672131148,n
ED-2018-OPE-0076-0857,ED-2018-OPE-0076-0845,ED,2020,0.22603692334849,180,17,0.068,705,0.42857142857142855,239,22,0.16923076923076924,59,0.45384615384615384,62,56,8,0.12903225806451613,n
ED-2018-OPE-0076-0858,ED-2018-OPE-0076-0845,ED,2020,0.32186074159722,183,28,0.112,709,0.5555555555555556,239,22,0.16923076923076924,59,0.45384615384615384,60,45,3,0.05,n
ED-2018-OPE-0076-0860,ED-2018-OPE-0076-0845,ED,2020,0.5058173531273,177,26,0.104,426,0.8,239,22,0.16923076923076924,59,0.45384615384615384,34,33,5,0.14705882352941177,y
ED-2018-OPE-0076-0861,ED-2018-OPE-0076-0845,ED,2020,0.36846387656782,154,33,0.132,3785,0.2,239,22,0.16923076923076924,59,0.45384615384615384,309,221,58,0.18770226537216828,n
ED-2018-OPE-0076-0862,ED-2018-OPE-0076-0845,ED,2020,0.26639320326912,183,17,0.068,1189,0.375,239,22,0.16923076923076924,59,0.45384615384615384,99,81,14,0.1414141414141414,n
ED-2018-OPE-0076-0863,ED-2018-OPE-0076-0845,ED,2020,0.24342082711867,170,31,0.124,1143,0.6470588235294118,239,22,0.16923076923076924,59,0.45384615384615384,95,82,8,0.08421052631578947,n
ED-2018-OPE-0076-0864,ED-2018-OPE-0076-0845,ED,2020,0.5058173531273,176,29,0.116,606,1,239,22,0.16923076923076924,59,0.45384615384615384,52,50,5,0.09615384615384616,y
ED-2018-OPE-0076-0865,ED-2018-OPE-0076-0845,ED,2020,0.3212522445932,184,26,0.104,1075,0.5,239,22,0.16923076923076924,59,0.45384615384615384,99,85,7,0.0707070707070707,n
ED-2018-OPE-0076-0866,ED-2018-OPE-0076-0845,ED,2020,0.14067588375813,182,21,0.084,1259,0.8333333333333334,239,22,0.16923076923076924,59,0.45384615384615384,109,89,18,0.1651376146788991,n
ED-2018-OPE-0076-0867,ED-2018-OPE-0076-0845,ED,2020,0.3381523349568,182,17,0.068,1351,1,239,22,0.16923076923076924,59,0.45384615384615384,116,91,11,0.09482758620689655,n
ED-2018-OPE-0076-0868,ED-2018-OPE-0076-0845,ED,2020,0.28100488408445,159,40,0.16,1237,0.6470588235294118,239,22,0.16923076923076924,59,0.45384615384615384,104,79,8,0.07692307692307693,n
ED-2018-OPE-0076-0870,ED-2018-OPE-0076-0845,ED,2020,0.38887661480035,171,40,0.16,431,0.5555555555555556,239,22,0.16923076923076924,59,0.45384615384615384,39,33,1,0.02564102564102564,n
ED-2018-OPE-0076-0878,ED-2018-OPE-0076-0845,ED,2020,0.0485175765727,225,11,0.3548387096774194,31,0,239,22,0.16923076923076924,59,0.45384615384615384,3,3,0,0,n
ED-2018-OPE-0076-0889,ED-2018-OPE-0076-0845,ED,2020,0.42581039756956,171,32,0.128,4984,0.5294117647058824,239,22,0.16923076923076924,59,0.45384615384615384,436,278,83,0.19036697247706422,n
ED-2018-OPE-0076-0890,ED-2018-OPE-0076-0845,ED,2020,0.39186767721404,183,19,0.076,1643,0.7037037037037037,239,22,0.16923076923076924,59,0.45384615384615384,143,101,28,0.1958041958041958,n
ED-2018-OPE-0076-0892,ED-2018-OPE-0076-0845,ED,2020,0.03220752667327,182,10,0.04,375,-0.6666666666666666,239,22,0.16923076923076924,59,0.45384615384615384,32,31,6,0.1875,n
ED-2018-OPE-0076-0895,ED-2018-OPE-0076-0845,ED,2020,0.38887661480035,183,35,0.14,1271,0.47368421052631576,239,22,0.16923076923076924,59,0.45384615384615384,109,77,8,0.07339449541284404,n
ED-2018-OPE-0076-0901,ED-2018-OPE-0076-0845,ED,2020,0.17941776325551,184,19,0.076,967,0,239,22,0.16923076923076924,59,0.45384615384615384,85,68,18,0.21176470588235294,n
ED-2018-OPE-0076-0903,ED-2018-OPE-0076-0845,ED,2020,0.13497690378138,191,22,0.088,499,0.25,239,22,0.16923076923076924,59,0.45384615384615384,43,40,4,0.09302325581395349,n
ED-2018-OPE-0076-0905,ED-2018-OPE-0076-0845,ED,2020,0.21506098810763,184,23,0.092,572,1,239,22,0.16923076923076924,59,0.45384615384615384,49,42,4,0.08163265306122448,n
ED-2018-OPE-0076-0907,ED-2018-OPE-0076-0845,ED,2020,0.37766761613044,159,30,0.12,3583,0.896551724137931,239,22,0.16923076923076924,59,0.45384615384615384,294,186,55,0.1870748299319728,n
ED-2018-OPE-0076-0912,ED-2018-OPE-0076-0845,ED,2020,0.31123830401579,187,14,0.056,863,0.3333333333333333,239,22,0.16923076923076924,59,0.45384615384615384,73,55,7,0.0958904109589041,n
ED-2018-OPE-0076-0913,ED-2018-OPE-0076-0845,ED,2020,0.11873192398666,189,13,0.052,420,0.5,239,22,0.16923076923076924,59,0.45384615384615384,37,32,4,0.10810810810810811,n
ED-2018-OPE-0076-0919,ED-2018-OPE-0076-0845,ED,2020,0.36846387656782,177,41,0.164,4841,0.4461538461538462,239,22,0.16923076923076924,59,0.45384615384615384,423,287,42,0.09929078014184398,n
ED-2018-OPE-0076-0920,ED-2018-OPE-0076-0845,ED,2020,0.99319132533831,10,226,0.904,4736,0.6417910447761194,239,22,0.16923076923076924,59,0.45384615384615384,410,189,51,0.12439024390243902,y
ED-2018-OPE-0076-0921,ED-2018-OPE-0076-0845,ED,2020,0.99626584855378,0,250,1,4737,0.6417910447761194,239,22,0.16923076923076924,59,0.45384615384615384,410,190,51,0.12439024390243902,y
ED-2018-OPE-0076-0922,ED-2018-OPE-0076-0845,ED,2020,0.9967603998673,5,227,0.908,4737,0.6470588235294118,239,22,0.16923076923076924,59,0.45384615384615384,410,188,49,0.11951219512195121,y
ED-2018-OPE-0076-0923,ED-2018-OPE-0076-0845,ED,2020,0.99188476597707,18,226,0.904,4736,0.6417910447761194,239,22,0.16923076923076924,59,0.45384615384615384,411,192,53,0.12895377128953772,y
ED-2018-OPE-0076-0924,ED-2018-OPE-0076-0845,ED,2020,0.99401488704648,17,227,0.908,4737,0.6363636363636364,239,22,0.16923076923076924,59,0.45384615384615384,411,191,54,0.13138686131386862,y
ED-2018-OPE-0076-0925,ED-2018-OPE-0076-0845,ED,2020,0.99483637457118,16,225,0.9,4737,0.6363636363636364,239,22,0.16923076923076924,59,0.45384615384615384,411,191,52,0.12652068126520682,y
